Company_Brand,Sector,Stage,BIO,Year,HeadQuarter,Amount($)
Blive,Tourism,Series,B: Live is an electric vehicle tourism startup.,2021,Panaji,
Euler Motors,Automotive,Series,Electric Light Commercial Vehicle,2021,Delhi,
Pixxel,Technology,Seed,Pixxel is a Bengaluru-based space technology startup building a constellation of advanced earth imaging small satellites.,2021,Bangalore,
Prescinto,Solar,Seed,Prescinto is the brain of a solar plant delivering Actionable Intelligence to Increase Generation.,2021,Gujarat,
MyGlamm,Beauty products,Series,MyGlamm is a direct-to-consumer brand of award winning European beauty products.,2021,Mumbai,
Chirrup,Gaming,Seed,Video integrated social-gaming platform,2021,Bangalore,
Policybazaar,Insurance,Undisclosed,PolicyBazaar designs an online life insurance and general insurance comparison portal that analyzes financial products.,2021,Gurugram,
Livve Homes,Rental space,Undisclosed,"India's homegrown online portal, championing the region for a brighter, more exciting livvable future. Right from simply connecting owners and tenants and to managing everything in between",2021,Bangalore,
Juicy Chemistry,Health Care,Series,Juicy Chemistry operates as an eponymous consumer brand.,2021,Coimbatore,
Svasti Microfinance,Technology,Undisclosed,Svasti works with urban slum dwellers women microentrepreneurs.,2021,Mumbai,
Nexprt,Consulting,Undisclosed,Nexprt Solutions offers end-to-end and 100% customized import solutions.,2021,Delhi,
Wysa,Artificial intelligence,Undisclosed,Wysa is an AI conversational agent that has been shown to help improve mental health,2021,Bangalore,
Ankur capital,Technology,Undisclosed,Early stage venture capital fund focused on opportunities created by rising aspirations & digital access for next billion Indians.,2021,Mumbai,
Indifi,Technology,Dept,Indifi Technologies is a digital lending platform that offers loans to those that have potential and intent.,2021,Gurugram,
Firmway,Technology,Seed,Firmway is a platform that digitizes balance confirmation and reconciliation process.,2021,Mumbai,
Say Cheese,Technology,Seed,"Say Cheese is the first holistic women-happiness platform in India, focused to increase the happiness of women through personalized solutions",2021,Mumbai,
Indic Inspirations,Cultural,Undisclosed,"Indian Souvenirs online that reflect Indian tradition, culture & stories. Best for personal gifting and corporate gifting.",2021,Pune,
Bimaplan,Technology,Seed,Affordable insurance for the next billion Indians,2021,Mumbai,
YAP,Technology,Series,YAP is the API Platform for Banking and Payments products in Asia. More than 200 Fintechs across Asia rely on YAP,2021,Chennai,
Leap Finance,Technology,Series,Leap Finance is a fintech startup for Indian students pursuing international higher education,2021,Bangalore,
BlackSoil NBFC,Technology,Undisclosed,BlackSoil Capital has transformed into an alternative NBFC and AIF Fund platform with an expertise to finance multiple sectors.,2021,Mumbai,
OYO,Hospitality,Undisclosed,OYO operates a branded network of hotels designed to offer standardized stay experiences.,2021,Gurugram,
Max Healthcare,Health Care,Undisclosed,Max Healthcare is one of the leading chain of hospitals in India.,2021,Delhi,
4baseCare,Health Care,Series,4baseCare develops a unified and patient-centric ecosystem to fight cancer.,2021,Bangalore,
Ezstays,Technology,Seed,"Ezstays is a leading student-life network, providing hostels and PG accommodation with top-tier living facilities at the best prices.",2021,Delhi,
Stylework,Co-working,Series,Stylework is an unconventional co-working space aggregator that is going to change the way people work.,2021,Gurugram,
Kinara Capital,Technology,Undisclosed,Kinara Capital is a financing company that provides flexible collateral-free loans to small business entrepreneurs.,2021,Bangalore,
Riskcovry,Technology,Series,"Riskcovry is an ""Insurance-in-a-box” model offers a one-stop-shop platform to cater to any business's digital insurance needs.",2021,Bangalore,
NODWIN,Gaming,Undisclosed,NODWIN Gaming is a gaming solutions company and creator of e-sports events.,2021,Gurugram,
Quizizz,Technology,Series,Quizizz is a Education based startup,2021,Bangalore,
Ecom Express,E-commerce,Undisclosed,Ecom Express is an end-to-end technology-enabled logistics solutions provider to the Indian e-commerce industry.,2021,Delhi,
Turtlemint,Technology,Series,Turtlemint is an online insurance platform that identifies and purchases appropriate insurance policies for consumers.,2021,Mumbai,
Captain Fresh,Supply chain platform,Seed,Captain Fresh is a freshwater fish and seafood supply chain platform.,2021,Bangalore,
Northern Arc,Technology,Dept,Northern Arc Capital (Formerly known as IFMR Capital) is a Non-Banking Finance Company.,2021,Chennai,
Qoohoo,Social platform,Seed,A platform for creators to build immersive connections with their fans and followers and monetize them.,2021,Bangalore,
IGL,Gaming,Undisclosed,Indian Gaming League is the premier eSports platform in India.,2021,Mumbai,
AMPM,E-commerce,Undisclosed,24*7 convenience store,2021,Gurugram,
The ePlane,Drone,Seed,"Transforming the mobility landscape using aerial transport. Currently, we build drones for industrial applications",2021,Chennai,
Cashify,E-commerce,Undisclosed,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,2021,Gurugram,
Bijnis,B2B service,Undisclosed,Digitizing the Factories of the Unorganised Industries.,2021,Delhi,
Questt,Technology,Seed,Questt is a homework app that allows teachers to allocate objective and subjective homework based on selected content.,2021,Gurugram,
DealShare,E-commerce,Dept,DealShare is a Social Commerce Startup,2021,Jaipur,
Blume Ventures,Technology,Undisclosed,Blume Ventures provides pre-series A and early stage funding to tech-focused/tech-enabled ventures.,2021,Mumbai,
